name,password,Workplace,region_in
TestUser1,tu1,Microsoft Corporation,United States
TestUser2,tu2,Microsoft Corporation,Canada
TestUser3,tu3,Microsoft Corporation,United States
TestUser4,tu4,Microsoft Corporation,Canada
TestUser5,tu5,Alphabet Inc,United States
TestUser6,tu6,Alphabet Inc,United States
TestUser7,tu7,Alphabet Inc,United States
TestUser8,tu8,Alphabet Inc,Japan
TestUser9,tu9,Alphabet Inc,Vietnam
TestUser10,tu10,Tesla Inc,Canada
TestUser11,tu11,Tesla Inc,United States
TestUser12,tu12,Tesla Inc,United States
TestUser13,tu13,Carnival Corporation & Plc,United States
TestUser14,tu14,Carnival Corporation & Plc,United Kingdom
TestUser15,tu15,First Quantum Minerals Ltd,Canada
TestUser16,tu16,American Airlines Group Inc,United States
TestUser17,tu17,Barclays PLC,United Kingdom
TestUser18,tu18,Glencore PLC,United Kingdom
TestUser19,tu19,First Quantum Minerals Ltd,Canada
TestUser20,tu20,American Airlines Group Inc,United States
TestUser21,tu21,Kweichow Moutai Co Ltd,China
TestUser22,tu22,Kweichow Moutai Co Ltd,China
TestUser23,tu23,Industrial and Commercial Bank of China Limited ,China
TestUser24,tu24,Industrial and Commercial Bank of China Limited ,China
